headBoy_Abdul Hazim,0
headBoy_Neil Binoy,0
headBoy_Thejus Kamal,0
headGirl_Elizabeth Olsen,0
headGirl_Toxic Britney,0
headGirl_Scarlett Johannson,0
headGirl_Hazel FromPJ,0
headGirl_Annabeth FromPJ,0
generalCaptain_L Messi,0
generalCaptain_Christiano Ronaldo,0
generalCaptain_Yousef,0
generalCaptain_Ahmed,0
generalCaptain_Mohammed,0
generalCaptain_Miloud,0
generalCaptain_Hussien,0
generalCaptain_George,0
generalCaptain_Jennifer F Kennedy,0
generalCaptain_Bear Rosevelvet,0
generalCaptain_Obama Unknown,0
generalCaptain_Khaled,0
